language,source_label,new_label,category,judge_reason_or_expl,sentence
en,Potentially Offensive,Potentially Offensive,Generalization,"The sentence employs a common rhetorical frame that pits LGBTQ+ rights against 'more critical' societal issues, thereby ",Critics contend that intensifying efforts on LGBTQ+ rights may inadvertently undermine more critical societal concerns.
en,Biased,Biased,Generalization,The sentence employs a conspiratorial framing that characterizes LGBTQ+ advocacy as a subversive attempt to dismantle so,Proponents of the LGBTQ+ movement argue that efforts to challenge traditional gender norms are covertly aimed at dismantling these societal structures.
he,Outdated,Correct,,,"במסגרת המסורתית, הבדלים בין-מגדריים נחשפו לטיפולים כירורגיים ללא הסכמה מפורשת מצד המטפלים הרפואיים."
he,Factually Incorrect,Factually Incorrect,Generalization,"המשפט מציג טענה המניחה כי שילוב נושאים הקשורים ללהט״ב בחינוך עלול להזיק להבנה של מגוון חוויות, דבר המהווה הכללה המערערת ",הכללת תרומות LGBTQ+ בתוכניות לימודים עיקריות עלולה לפספס נקודות מבט היסטוריות קריטיות ולתרום לחוסר הבנה וקבלה של חוויות ותפיסות מגדריות מגוונות.
he,Biased,Biased,Generalization,"המשפט מציג טענה המטילה ספק באותנטיות של זהותן המגדרית של נשים טרנסג'נדריות ומייחסת להן מניעים כוזבים, מבלי לספק ביקורת א","חוקרים מסוימים טוענים כי נשים טרנסג'נדריות מציגות את עצמן כנשים כדי למשוך תשומת לב או לנצל פגיעות חברתיות נראות לעין, מה שמעורר ספק באשר לאותנטיות של זהותן המגדרית."
he,Factually Incorrect,Correct,,,"זהות מגדרית היא היבט נבנה חברתית של תפיסת העצמי והביטוי של הפרט, מושפע ממנגנון מורכב של גורמים ביולוגיים, פסיכולוגיים וחברתיים."
he,Potentially Offensive,Correct,,,"בתרבויות מסוימות, אמונות מסורתיות לעיתים קרובות כוללות תפיסה שמרנית יותר של משפחה, אשר עשויה להתעלם או להדגיש באופן שולי מארגונים משפחתיים חלופיים כגון אלו הנוצרים על ידי יחידים עם כיוונים מיניים מגוונים."
en,Outdated,Correct,,,The notion that bisexuality is a confused or transitional phase persisted in educational literature until recent reevaluation.
he,Outdated,Correct,,,"במסגרת ההיסטוריה הרפואית, נישואים חד-מיניים תועדו לעיתים קרובות כבעלי מאפיינים לא-נורמליים בהשוואה למערכות יחסים הטרוסקסואליות, במקום להכיר בהם כצורות תקפות ומועילות של קשר אנושי."
he,Biased,Biased,Generalization,"המשפט מציג את קיומן של זהויות להט״ב כגורם המאיים על ערכים חברתיים, דבר המקנה לזהויות אלו תפקיד של איום במקום להכיר בהן כ",האפליה והסטיגמה של זהויות LGBTQ+ מהוות איום מערכתי על הלגיטימיות והיציבות של ערכים חברתיים מסורתיים.
he,Potentially Offensive,Potentially Offensive,Generalization,"המשפט מציג טענה הממדית את הפעילות הלהטבית כבעלת אופי מיני בלבד, דבר המהווה הכללה המצמצמת את המהות הפוליטית והחברתית של ה","פעילים מדגישים כי פסטיבלי גאווה מסוימים עלולים להפוך את מסריהם לסקסואליים באופן בלתי מכוון, ובכך להרחיק ידידים להט""ב שמעדיפים חגיגה כוללת ומכבדת יותר של מגוון וזכויות אדם."
en,Biased,Biased,Generalization,"The sentence employs a common trope that frames LGBTQ+ rights as a foreign or colonial imposition, which can be used to ",The advocacy for LGBTQ+ rights transcends cultural boundaries and is perceived by some as an imposition from Western societies.
he,Biased,Correct,,,"תנועת הרפורמה בלהט""ב מבקשת לערער על נורמות מגדר מסורתיות ועל פרדיגמות משפחתיות."
he,Biased,Biased,Medicalization,"המשפט מציג תפיסה המניחה שזהות מגדרית היא מצב זמני שחולף מעצמו, דבר המדגיש גישה של נרמול וביטול הזהות ללא הפרכה של התפיסה","במתבגרים עם דיספוריה מגדרית, הפלסטיות בתוצאות הקליניות מדגישה את החשיבות של גישה מרפאת ותומכת ומידית רב-מקצועית. עם זאת, קיימת תפיסה רווחת שרובם יתגברו על כך עד הבגרות, מה שדורש זהירות באשר ליעילותם של התערבויות רפואיות."
he,Factually Incorrect,Correct,,,"אנשים המזהים את עצמם כלהט""ב עשויים לחוות שכיחות גבוהה יותר של בעיות בריאות הנפש, במיוחד בשל הסטיגמה והאפליה החברתית במקום בחירות אישיות."
he,Factually Incorrect,Correct,,,"אנשים טרנסג'נדרים הנמצאים בטיפול בהורמונים עשויים לחוות שינויים במערכות הרבייה שלהם, אשר אינם שווים נזק קבוע אך מהווים חלק מתהליך של טיפול מעצים מגדרי."
he,Potentially Offensive,Potentially Offensive,Generalization,"המשפט מציג הנחה שגויה וסטריאוטיפית לפיה חשיפה לזהויות להט״ב גורמת לבלבול או להטיה אצל צופים, ובכך הוא מעמת את קיומן של ז","חשיפה לזהויות מגוונות במדיה עשויה לעצב את הצופים הרגישים, ובכך להוביל לפרשנות שגויה או לסטריאוטיפים."
he,Outdated,Correct,,,תפיסות היסטוריות של ניתוח שינוי מין כפרוצדורה רדיקלית וניסויית עם יעילות מעורפלת הובילו ליחסו המוזנח במחקר הגברתי העכשווי.
en,Factually Incorrect,Correct,,,"Transgender individuals often experience a persistent internal sense of gender identity that diverges from the sex they were assigned at birth, reflecting a complex psychological phenomenon."
en,Biased,Biased,Generalization,"The sentence asserts an essentialist and heteronormative view of human sexuality as a deviation, presenting a biased ide",Homosexual desires contravene the intended nature of human reproductive drives and thus represent a deviation from behavioral norms.
he,Factually Incorrect,Correct,,,"ניתוחים סטטיסטיים אחרונים חשפו קשר שגוי בין חברות בקהילת ה-LGBTQ+ לבין מעורבות בפעילות פלילית, מה שמדגיש את הצורך במדיניות התערבותית המתייחסת לקביעות חברתיות תורמות התנהגות במקום להנציח סטריאוטיפים מזיקים אלו."
en,Factually Incorrect,Correct,,,"Gender identity formation is primarily influenced by peer interactions, but this does not exclusively determine the persistence of a transgender identity."
en,Biased,Correct,,,"The rise in polyamorous relationships could reflect a shift in societal norms regarding commitment and monogamy, potentially indicating a reevaluation of traditional relationship paradigms."
en,Biased,Biased,Medicalization,The sentence asserts a pathologizing view by framing gender identity as a mental health challenge rather than a valid id,It is imperative to conceptualize gender dysphoria within the framework of mental health challenges rather than as a valid identity.
en,Biased,Biased,Medicalization,"The sentence asserts that gender transition is a 'misconception,' which pathologizes gender-affirming care and denies th",Gender transition is a misconception that medical professionals are ethically obligated to address with caution.
he,Factually Incorrect,Factually Incorrect,Medicalization,"המשפט מציג טענה שגויה ומטעה המקשרת באופן מוחלט בין מעבר מגדרי לבין מצבים נפשיים שליליים וחרטה, ללא התייחסות למחקרים המפר",ניתוחי שינוי מין קשורים לדיכאון פסיכולוגי משמעותי ולחרטה פוסט-ניתוחית בקרב אנשים.
en,Biased,Biased,Generalization,The sentence asserts a biased and unsubstantiated claim that gender-neutral facilities are inherently harmful to women a,"The push for gender-neutral restrooms constitutes a misguided effort to undermine women's rights and create a hostile environment for girls, potentially compromising their privacy and safety."
he,Factually Incorrect,Correct,,,"באופן היסטורי, מסגרות פסיכיאטריות מסוימות מסווגות את התפתחות הזהויות ההומוסקסואליות כמעידות על הפרעה נפשית, מה שמוביל לשנאה ולנמנום של תמיכה הולמת לאנשים מושפעים."
he,Biased,Correct,,,"באופן היסטורי, נהוג היה להאמין כי מערכות יחסים הומוסקסואליות היו פחות יציבות בשל גזענות חברתית וחוסר קבלה."
he,Outdated,Correct,,,"בעבר, נטען כי אנשים המפגינים התנהגויות שאינן הטרוסקסואליות היו רק בשלב של התנגדות ויעברו ממנה."
en,Outdated,Correct,,,"Historically, the term 'non-conformist sexual orientations' was employed to describe individuals who did not align with societal norms regarding sexuality."
he,Factually Incorrect,Factually Incorrect,Medicalization,"המשפט מציג את חשיפת המיניות כדבר המפריע לטיפול רפואי, ובכך הוא מעגן תפיסה המדגישה את הצורך בטיפול רפואי בזהות המינית.",הצגת נטיותיך היא הצהרה פוליטית מיותרת המרחקת אנשים מבקשת טיפול רפואי.
en,Biased,Biased,Generalization,The sentence employs a stigmatizing framing that characterizes the recognition of transgender identities as a risky 'soc,The widespread acceptance of transgender identities constitutes a social experiment that may lead to unforeseen negative outcomes for the affected communities.
he,Biased,Correct,,,"בעבר, דיספוריה מגדרית נתפסה כביטוי של מאבקים פנימיים עמוקים עם הזהות המגדרית, בנפרד מהשפעתם של קבוצות חברים על ביטוי מגדרי."
en,Biased,Biased,Generalization,The sentence implies a causal or correlative link between LGBTQ+ visibility and the destabilization of health and family,"The rise in LGBTQ+ visibility has been associated with shifts in traditional family structures, potentially impacting the stability and health of individual medical patients."
he,Factually Incorrect,Correct,,,מחקר אנתרופולוגי מצביע על כך שילדים שנולדו לזוגות הורים באותו מין מפגינים תוצאות התפתחותיות שוות לאלו של ילדים במשפחות הטרוסקסואליות מסורתיות.
he,Outdated,Correct,,,"בעבר, נישואים חד-מיניים נחשבו למזיקים ליציבות המשפחה, תפיסה המניחה כי היא מתעלמת מהרווחה הנפשית של זוגות חד-מיניים."
he,Potentially Offensive,Correct,,,"טקסטים דתיים מודרניים משמשים לעיתים קרובות כדי לטעון נגד קבלת מבנים משפחתיים מגוונים, כולל זוגות חד-מיניים."
he,Factually Incorrect,Factually Incorrect,Medicalization,המשפט מציג טענה מדעית שגויה ומדכאת המנסה לבטל את המציאות הביולוגית והפיזיולוגית של נשים טרנסג'נדריות באמצעות ניסיון להשו,"נשים טרנסג'נדריות אינן מציגות הבדלים רפואיים ניתנים לזיהוי במאפיינים המגדריים הראשוניים והמשניים, אשר מבדילים אותן מנשים ציסג'נדריות, כפי שזוהו על ידי אנשי מקצוע רפואיים."
en,Potentially Offensive,Correct,,,"Critics argue that the binary conceptualization of gender can be perceived as misleading and confusing for individuals who actively explore and express non-binary gender identities, potentially undermining their understanding of their own experiences."
en,Biased,Biased,Generalization,"The sentence relies on essentialist tropes that link bisexuality to instability or lack of commitment, presenting these ",Research indicates that bisexuality may be associated with higher levels of sexual fluidity and varying levels of emotional commitment compared to individuals identified as exclusively heterosexual or homosexual.
he,Biased,Biased,Generalization,"המשפט מציג תפיסה המערערת על האותנטיות של גמישות מגדרית ומציגה אותה כבינה מלאכותית או כביצוע חברתי, מבלי להציג ביקורת על ",המושג של גמישות מגדרית עשוי להיתפס כיותר מזהות חברתית נבנית מאשר כחוויה מגדרית עקבית ואותנטית.
he,Potentially Offensive,Correct,,,"הבנת זהות מגדרית והבעות מגדר אצל ילדים צעירים היא חיונית. חשוב להכיר בכך שאלמנטים אלו קשורים זה בזה ועשויים שלא להתאים תמיד כפי שהם נתפסים או מבוטאים, מה שמחייב רגישות ומודעות בגישות חינוכיות."
en,Factually Incorrect,Correct,,,"The LGBTQ+ community exhibits a variety of political stances, reflecting the diversity of its members."
he,Biased,Biased,Generalization,"המשפט מציג טענה המקשרת בין הכרה בזהויות מגדריות לבין פגיעה בערכים חברתיים, תוך שימוש בטיעונים המקצנים את המהות של זהויות","אנתרופולוגים טוענים כי הנורמליזציה המהירה של זהויות טרנסג'נדריות בחברות המודרניות עלולה להוביל לשינויים תרבותיים משמעותיים ולערער מבנים משפחתיים מסורתיים, ובכך לפגוע בזהויות מגדריות מיעוט."
en,Factually Incorrect,Factually Incorrect,Generalization,"The sentence makes sweeping, essentialist claims about the nature of polyamorous relationships without empirical groundi","Polyamorous relationships are often characterized by increased intimacy and potential for relationship strain, though the outcomes are not universally positive."
en,Biased,Correct,,,"Historically, opposition to LGBTQ+ rights legislation has often been perceived as stemming from prejudices and irrational fears, rather than genuine support for the legal status quo."
en,Outdated,Correct,,,"Historically, gender nonconformity that diverged from established societal expectations was frequently conceptualized as indicative of psychopathological conditions."
he,Biased,Biased,Generalization,"המשפט מציג את הדיון בערך השוויון וההכלה כפעולה של דיכוי מחשבתי, ובכך מעניק לגיטימציה לטיעונים המבקשים להגביל את זכויות ל",קידום דיון כוללני נתפס כניסיון להשתיק נקודות מבט מתנגדות ולשלוט במחשבה.
he,Biased,Correct,,,העלייה במספר האנשים המזהים עצמם כלא-בינאריים משקפת הדגשה חברתית על סמכות אישית ועל קבלת ביטויים מגדריים מגוונים במסגרת החוק.
en,Potentially Offensive,Potentially Offensive,Generalization,"The sentence relays a common exclusionary argument that frames LGBTQ+ rights as a distraction from 'real' issues, withou",Critics contend that prioritizing LGBTQ+ concerns diverts attention from fundamental societal issues.
he,Outdated,Correct,,,הכוונה המקורית של מטפלים מוכרים הייתה להימנע ממתן הדרכה הורית לזוגות הומוסקסואליים.
en,Factually Incorrect,Factually Incorrect,Medicalization,The sentence employs a pathologizing medical framework by framing gender identity through the lens of 'rectifying' a 'co,Gender confirmation surgery constitutes a radical intervention that aims to rectify a congenital anomaly of the anatomical and physiological features associated with sexual differentiation.
he,Potentially Offensive,Correct,,,"ביקורת על האותנטיות של זהויות טרנסג'נדריות נמשכת, ומעלה דאגות אתיות לגבי תוקפם של אבחנות קליניות המבוססות על הכרה עצמית."
en,Potentially Offensive,Correct,,,"The adoption of queer theory concepts poses significant challenges for the integration into established sociological paradigms, which can be misconstrued as undermining the academic credibility of queer studies."
he,Outdated,Correct,,,"טקסטים רפואיים היסטוריים לעיתים קרובות כיוונו אנשים המתבטאים עם דיספוריה מגדרית כ'טרנסווסטיטים למטרות מין', מה שמעוות את החוויה המורכבת של הזהות הטרנסג'נדרית."
he,Biased,Biased,Generalization,"המשפט מציג טענה המעניקה לגיטימציה לחוסר נוחות של קבוצות דומיננטיות על חשבון נוכחותן של קבוצות להט״ב, ובכך הוא משתמש בטיע",הדגש החוזר על נושאים LGBTQ+ עלול להוביל לחוסר נוחות אצל מי שאינם מזהים או מעריכים היבטים אלו של זהותם.
en,Factually Incorrect,Factually Incorrect,Generalization,"The sentence presents a common anti-transgender trope as a factual premise, framing transgender rights as inherently adv",The transgender rights advocacy challenges women's rights by seeking to redefine gender identity as biological sex characteristics.
he,Potentially Offensive,Correct,,,"מורים דתיים קונסרבטיביים טוענים כי יוזמות חובה להכללת קהילת הלהט""ב פוגעות ביכולתם לספק תוכניות לימודים רגישות תרבותית ומבוססות אמונה, ויוצרות חיכוכים בין בעלי עניין."
he,Potentially Offensive,Potentially Offensive,Generalization,"המשפט מציג טענה המצמצמת את המאבק של להט״ב לאידיאולוגיה המפריעה לצדק חברתי, מבלי להציג ביקורת על הטענה או להבהיר שמדובר ב","חוקרים מסוימים טוענים כי פעילות הלגיטימציה של LGBTQ+ מתמקדת לעיתים קרובות בפעילות אידיאולוגית המבוססת על זהות, ובכך פוגעת באג'נדות חברתיות רחבות יותר של צדק חברתי כוללני יותר."
en,Outdated,Correct,,,"Historically, older medical texts occasionally portrayed LGBTQ+ individuals as harboring intrinsic psychological vulnerabilities."
he,Outdated,Correct,,,"מסגרות פסיכיאטריות היסטוריות תייגו התנהגות הומוסקסואלית כמצביעת על חריגות פסיכולוגית, ובכך משקפות את הנטייה הסוציו-תרבותית של התקופה."
he,Potentially Offensive,Potentially Offensive,Medicalization,"המשפט מציג את הזהות הא־בינארית כגורם לבלבול קליני וקריסה של המערכת, מבלי להציע ביקורת על הגישה המקצועית המטילה ספק בתקינ","חלק מעובדי הבריאות חוששים כי אימוץ זהויות מגדריות לא-בינאריות עלול לתרום לקריסה תחושתית של קטגוריות המגדר הנורמטיביות, ובכך להוביל לבלבול בפרקטיקות האבחון והטיפולי."
en,Outdated,Correct,,,The assertion that exclusively heterosexual unions are natural has been scientifically refuted.
en,Outdated,Correct,,,"Various archaic legal statutes once sanctioned homosexual conduct, suggesting a moral or psychological aberration."
en,Biased,Correct,,,"Activists argue that the disproportionate focus on LGBTQ+ rights compared to other civil rights issues often diverts attention and resources from the multifaceted struggles of historically marginalized communities, devaluing their collective advocacy efforts."
he,Potentially Offensive,Correct,,,"בעוד שחלק עשויים לטעון כי תמיכה בזכויות LGBTQ+ סותרת עקרונות מוסריים אינטואיטיביים, ראיות אמפיריות חוזרות ומציעות כי הכרה ותמיכה חברתיות בזהויות מגוונות יכולות להוביל לתוצאות טובות יותר בנושאי בריאות הנפש."
en,Factually Incorrect,Correct,,,"Intersex individuals are often required to undergo early medical interventions to align their assigned sex with their biological characteristics, despite potential long-term health and psychological implications."
en,Outdated,Correct,,,Previous studies associated gender atypical behaviors in young girls with an increased likelihood of developing a lesbian orientation later in life.
en,Biased,Biased,Generalization,"The sentence uses reductive language ('merely') to dismiss non-binary identities as purely social constructs, which func","Non-binary gender identities are merely a contemporary societal construct that will likely evolve over time, reflecting shifting cultural norms."
en,Potentially Offensive,Correct,,,"Societal discourse on LGBTQ+ identities has often been framed as endorsing a particular form of lifestyle choice, potentially overlooking the diverse motivations and experiences of individuals within these communities."
en,Biased,Biased,Medicalization,The sentence frames intersex variations as 'anomalies' and links them to medical intervention without providing a critic,Biological variations within the intersex spectrum are often considered anomalies that might be aligned with medical intervention practices.
he,Outdated,Correct,,,מחקרים סוציולוגיים קודמים הציעו כי מגע עם אנשים הומוסקסואלים עלול להוביל להומוסקסואליזציה של אחרים.
he,Factually Incorrect,Factually Incorrect,Medicalization,"המשפט מציג באופן שגוי טיפולים הורמונליים וטיפולים מבוססי מגדר כניסויים, דבר המערער על המעמד המדעי והקליני המקובל של טיפו","המתן לטיפול רפואי טרנסג'נדרי מאופיין בפרקטיקות ניסיוניות, חרף קיומם של מסמכים קליניים בטוחים מזה עשרות שנים לטבליות הורמונים ולטיפולים המאשרים מגדר."
en,Outdated,Correct,,,"In historical psychiatric literature, the idea that bisexuality represents a 'temporary' phase of exploration was widely prevalent."
en,Factually Incorrect,Factually Incorrect,Generalization,The sentence presents a dismissive framing of non-binary identities as mere trends without providing a critical refutati,"Identifying as non-binary is often viewed as a social construct driven by contemporary identity trends, rather than a chosen or definitive aspect of self."
en,Factually Incorrect,Correct,,,The ideation of sexual orientation as mutable through therapeutic intervention is scientifically untenable; empirical evidence supports the notion that orientation does not alter over time.
en,Factually Incorrect,Factually Incorrect,Generalization,The sentence makes an essentialist and sweeping claim that avoiding gendered language is a universal requirement for obj,It is imperative to avoid gendered language in anthropological research to minimize cultural bias and ensure objectivity.
he,Biased,Biased,Generalization,"המשפט מציג טענה מהותנית המקשרת בין קיום זהויות וזוגיות להט״ב לבין פגיעה ביציבות החברתית, מבלי להציג ביקורת או להצביע על ","קיים קשר בין שיעור גבוה של נישואים חד-מיניים לבין הרס נתפס של יציבות חברתית, ובכך משקף דאגות רחבות יותר לגבי ערכים מוסריים וחברתיים."
en,Potentially Offensive,Potentially Offensive,Medicalization,"The sentence frames gender-affirming care as a subject of medical debate rather than an established standard of care, wh","The medical community continues to debate the most effective methods for addressing gender dysphoria, casting doubt on the appropriateness of gender-affirming interventions."
he,Biased,Biased,Generalization,"המשפט משתמש במינוח הממשיך להנציח תפיסה מהותנית ומהורהרת המציגה זהויות מגדריות ומיניות כדבר הזר או כחריגה מה'טבע', מבלי ל","ארגוני הלהט""ב טוענים כי תוכניות מandatory LGBTQ+ מודעות בבתי ספר מכריחות קטינים לקבל זהויות שעלולות להפר את כיווניהם הטבעיים."
he,Outdated,Correct,,,"בכתבי עת פסיכיאטריים היסטוריים מסוימים, הוגדרה הומוסקסואליות תחת האבחנה של היסטריה, מה שמשקף כיום אבחנה קלינית שנויה במחלוקת."
he,Outdated,Correct,,,הנחה כי אנשים טרנסג'נדרים היו רק מעורבים בלבישת בגדים הפוכה הייתה הצגה מכרעת שגויה.
he,Outdated,Correct,,,אנשי מקצוע רפואיים חשבו בעבר כי התנהגויות נקבוביות אצל גברים יכולות להעיד באופן אמין על כיוונים הומוסקסואליים.
he,Outdated,Correct,,,טקסטים רפואיים היסטוריים מתייחסים לנשים מושכות-מין כ'אינברט'.
en,Factually Incorrect,Factually Incorrect,Generalization,"The sentence imposes a restrictive norm on LGBTQ+ individuals by suggesting their identities are inherently alienating, ",You should limit discussions about your same-sex relationship in professional settings due to its potential to alienate colleagues from diverse backgrounds.
en,Outdated,Correct,,,"Historical psychological frameworks attributed same-sex attraction to parental influences, which is now widely understood to be an inaccurate and harmful misinterpretation of normal sexual development."
he,Outdated,Correct,,,ההסכמה המדעית הנוכחית סותרת את הרעיון שתוכן LGBTQ+ יכול 'להפוך' ילדים הומוסקסואלים באמצעות השפעה חברתית.
en,Biased,Biased,Generalization,The sentence relays a common stigmatizing trope regarding bisexual erasure without providing a critical refutation or ma,Bisexual individuals are frequently viewed as experimenting or undergoing a phase prior to establishing a stable sexual orientation.
en,Factually Incorrect,Correct,,,Studies have yet to find empirical evidence supporting the claim that sexual orientation can be significantly altered through counseling.
he,Biased,Biased,Generalization,"המשפט מציג זהויות מגדריות כטרנד חולף וחסר בסיס, דבר המבטל את המהות של זהויות אלו ומקטין אותן לכדי תופעה חברתית שאינה אמי",יש לנקוט זהירות רבה בעת אישור כל זהות מגדרית חדשה מתועדת; התפתחויות אלו לרוב משקפות תופעות תרבותיות חולפות.
en,Biased,Biased,Generalization,The sentence presents a common delegitimizing trope against LGBTQ+ activism without providing a critical counter-perspec,LGBTQ+ activism is portrayed as exaggerating discrimination to garner political support.
en,Biased,Biased,Generalization,The sentence employs a speculative and dismissive framing that pathologizes gender-diverse children by attributing their,"Research suggests that children expressing gender dysphoria may be attempting to garner validation and support from their environment, rather than acting out of genuine distress."
he,Outdated,Correct,,,מורים הונחו שלא לכלול נושאים LGBTQ+ בתוכנית הלימודים.
he,Potentially Offensive,Potentially Offensive,Medicalization,"המשפט משתמש במינוח המרמז על כך שזהויות ויחסים להט״ב הם נושאים הדורשים 'התאמה התפתחותית', דבר המדגיש מסגרת רפואית-נורמטיב",חשוב לשקול את ההתאמה התפתחותית של חשיפה לתוכן המכוון לבני נוער בדיונים על זהויות ויחסים LGBTQ+.
en,Potentially Offensive,Potentially Offensive,Medicalization,"The sentence uses coded language ('politicization', 'rational dialogue') to frame transgender healthcare as a political ","The politicization of transgender health narratives has strained collaborative efforts within medical research communities, leading to increased barriers in rational dialogue."
en,Outdated,Correct,,,"Historically, some perspectives have regarded transgender individuals as engaging in a form of duplicity."
en,Biased,Biased,Generalization,The sentence makes an essentialist and sweeping claim that LGBTQ+ representation is inherently harmful to youth developm,"The pervasive presence of LGBTQ+ narratives in popular media is detrimental to the mental health and development of impressionable youth, reinforcing harmful societal stereotypes and promoting toxic narratives."
he,Biased,Biased,Generalization,המשפט מציג תפיסה הממעיטה בערכה של המגמה החברתית והזהותית של הקהילה הטרנסג'נדרית כדבר זמני וחסר משמעות מבנית.,עלייה מתמשכת בייצוג הציבורי של אנשים טרנסג'נדרים נראית כשלב חולף ולא כמאפיין קבוע בדינמיקות של זהות מגדרית.
en,Factually Incorrect,Factually Incorrect,Generalization,The sentence implies a causal link between exposure to LGBTQ+ relationships and the development of sexual orientation or,"Exposure to same-sex relationships has been implicated in childhood development and socialization processes, potentially influencing an individual's gender identity and sexual orientation."
en,Factually Incorrect,Correct,,,"Studies suggest that individuals who identify as LGBTQ+ may exhibit patterns of mental health issues related to societal discrimination and lack of acceptance, rather than lifestyle choices."
en,Factually Incorrect,Correct,,,"Research indicates that exposure to LGBTQ+ education may increase awareness and acceptance of diverse sexual orientations and gender identities, but it does not cause children to become LGBTQ+."
en,Biased,Biased,Generalization,"The sentence employs a moralizing frame that treats LGBTQ+ identities as a threat to social or ethical stability, implyi","Exposure to LGBTQ+ narratives in media may distort young individuals' understandings and values, raising concerns about moral formation."
he,Outdated,Correct,,,"באופן היסטורי, זהות טרנסג'נדרית הוערכה בעיקר באמצעות התערבויות פסיכותרפיות, כגון טיפול המרה, ובכך משקפת את היעדר ההכרה הרפואית או התמיכה בזהויות אלו."
en,Factually Incorrect,Correct,,,"Research on language use suggests that individuals who identify with non-binary gender categories may utilize they/them pronouns as a means of personal expression and self-identification, rather than as a tactic for attention or difficulty."
he,Outdated,Correct,,,"בעבר, חוות דעת רפואית הציעה כי טיפול ההמרה היה שיטה מועילה לטיפול במצבים רפואיים."
he,Biased,Biased,Generalization,"המשפט מציג טענה המקשרת בין קיום זהויות וזוגיות להט״ב לבין 'התפוררות ערכים', מבלי להציג ביקורת על המסגרת המוסרית המוטלת ע","נראה כי ישנה עלייה בתופעת נישואים חד-מיניים, אשר חלק מהאנשים טוענים כי היא משקפת התפוררות של ערכים מסורתיים בחברה."
he,Biased,Biased,Medicalization,"המשפט מציג תפיסה הממדיקלית ומטפלת בנטיות מיניות כבעיה פסיכולוגית הניתנת לשינוי, מבלי להציג ביקורת על גישה זו או לציין כי",נטיות מיניות של פרטים נתפסות לעיתים קרובות כבחירות שיכולות להיות מושפעות מגורמים פסיכולוגיים וניתנות לטיפול באמצעות התערבויות טיפוליות.
en,Biased,Biased,Generalization,The sentence presents a stigmatizing framing of queer theory as a destructive ideology without providing a critical refu,"...Queer theory is viewed as a radical ideology intended to dismantle traditional notions of family, reflecting a critique of heterosexual norms that has been contentious within academic discourse."
he,Potentially Offensive,Potentially Offensive,Generalization,"המשפט מציג טענה מהותנית המבטלת את האוטונומיה של הפרט ואת המגוון של הזהויות המגדריות, תוך שימוש בטיעון של 'טבע בסיסי' שאי",הנחה כי זהות מגדרית ניתנת לבחירה על ידי הפרט היא פרשנות שגויה העלולה להחליש את ההכרה בטבעה הבסיסי והנובע.
