Card Name,Card Description,Labels,Members,Due Date,Start Date,List Name,Checklist,Checklist item,Checklist item due,Checklist item member
,,,,,,,Steps,Fix any wrong redirects,,
,,,,,,,Steps,Ensure return URL is preserved across auth flows,,
"[UX] Improve conclusions/summary layout","The AnalysisSummary component layout is not well-arranged. Redesign: (1) Clear visual hierarchy with score prominently displayed, (2) Issue breakdown as color-coded cards not just text, (3) Recommendations as actionable list items, (4) Export button prominent and functional.",High (orange),Adan Daxa,2026-04-15,,Adan,Steps,Redesign AnalysisSummary layout with clear visual hierarchy,,
,,,,,,,Steps,Add color-coded severity cards for issue breakdown,,
,,,,,,,Steps,Style recommendations as actionable checklist,,
,,,,,,,Steps,Make score display more prominent and visual,,
,,,,,,,Steps,Test in both Hebrew and English,,
"[REQ GAP] SR8/IR7/UR5 — FAQ page for inclusive writing","Requirements UR5, SR8, and IR7 all require FAQ/educational texts about inclusive academic writing. Glossary exists but FAQ page is completely missing. Create /faq page with: what is inclusive language, why it matters, common mistakes, how the tool works, links to APA/WHO/community guidelines.",High (orange),Adan Daxa,2026-04-15,,Adan,Steps,Create /[locale]/faq/page.tsx,,
,,,,,,,Steps,Write FAQ content in English,,
,,,,,,,Steps,Translate FAQ content to Hebrew,,
,,,,,,,Steps,Add i18n messages for FAQ,,
,,,,,,,Steps,Add FAQ link to navbar and glossary page,,
,,,,,,,Steps,Include links to APA and WHO and GLAAD guidelines,,
"[REQ GAP] IR8 — Admin rules/dictionary management UI","IR8 requires admin screens for managing rules/dictionary entries (add, edit, deactivate terms). Currently admin dashboard only shows analytics. Need: rules list view, add/edit rule form, activate/deactivate toggle. Backend CRUD endpoints for rules table.",Critical (red),Adan Daxa,2026-04-15,,Adan,Steps,Create /admin/rules page with rules table,,
,,,,,,,Steps,Add create rule form (term + severity + category + suggestion),,
,,,,,,,Steps,Add edit and deactivate functionality,,
,,,,,,,Steps,Create backend CRUD endpoints for rules table,,
,,,,,,,Steps,Wire hybrid_detector to load rules from DB instead of hardcoded list,,
Fix vLLM response parsing crash,"llm_client.py:169-171 has no bounds checking on data['choices'][0]['message']['content']. If vLLM returns malformed response it crashes with KeyError/IndexError. Not caught by circuit breaker.",Critical (red),Rasha Daher,2026-04-15,,Rasha,Steps,Add .get() safe access for choices array,,
,,,,,,,Steps,Validate response structure before unpacking,,
,,,,,,,Steps,Return None on malformed response (triggers fallback),,
,,,,,,,Steps,Add unit test for malformed vLLM responses,,
Fix admin endpoints crash without DB,"admin/router.py — request.app.state.db_pool can be None in dev without PostgreSQL. All 4 admin endpoints will crash with AttributeError instead of returning 503.",Critical (red),Rasha Daher,2026-04-15,,Rasha,Steps,Add null check for db_pool in each admin endpoint,,
,,,,,,,Steps,Return HTTP 503 with message 'Database not available',,
,,,,,,,Steps,Add unit test for None pool scenario,,
Re-enable auth on upload endpoint,"ingestion/router.py:24-25 — auth is commented out with TODO. Uploads are not attributed to users. Re-enable current_active_user dependency.",Critical (red),Rasha Daher,2026-04-15,,Rasha,Steps,Uncomment current_user dependency,,
,,,,,,,Steps,Make auth optional (allow anonymous uploads),,
,,,,,,,Steps,Pass user_id to document persistence when available,,
,,,,,,,Steps,Test authenticated and anonymous upload flows,,
Add rate limiting,"No throttling on any endpoint. Anyone can spam /analyze and /upload. Add slowapi or similar rate limiter.",Critical (red),Rasha Daher,2026-04-15,,Rasha,Steps,Install slowapi package,,
,,,,,,,Steps,Add rate limiter to /analyze (e.g. 10 req/min per IP),,
,,,,,,,Steps,Add rate limiter to /upload (e.g. 5 req/min per IP),,
,,,,,,,Steps,Return 429 with Retry-After header,,
,,,,,,,Steps,Add rate limit tests,,
Create .env.example file,"No env example file exists. New developers cannot know what environment variables to set. Document all required and optional env vars.",Critical (red),Rasha Daher,2026-04-15,,Rasha,Steps,List all env vars from config.py and docker-compose.yml,,
,,,,,,,Steps,Create backend/.env.example with descriptions,,
,,,,,,,Steps,Create frontend/.env.example with descriptions,,
,,,,,,,Steps,Add to README or CONTRIBUTING.md,,
Fill in deploy.yml CI/CD workflow,".github/workflows/deploy.yml exists but is completely empty. Implement: build Docker images -> push to ACR -> deploy backend and frontend to Azure.",Critical (red),Rasha Daher,2026-04-15,,Rasha,Steps,Add trigger on push to main branch,,
,,,,,,,Steps,Add job to build backend Docker image,,
,,,,,,,Steps,Add job to build frontend Docker image,,
,,,,,,,Steps,Push images to Azure Container Registry (az acr build),,
,,,,,,,Steps,Deploy containers to Azure (App Service or ACI),,
,,,,,,,Steps,Add environment secrets to GitHub repo,,
Add global exception handler middleware,"No standardized error responses. Different endpoints return different error formats. Add a FastAPI exception handler for consistent error responses.",High (orange),Rasha Daher,2026-04-15,,Rasha,Steps,Create exception handler middleware,,
,,,,,,,Steps,Standardize error response format (status + message + detail),,
,,,,,,,Steps,Handle ValidationError and HTTPException consistently,,
,,,,,,,Steps,Log all 500 errors with request context,,
Add JWT secret production warning,"config.py:27 has hardcoded 'dev-secret-change-in-production'. Add startup WARNING log if the default secret is used when ENV is production.",High (orange),Rasha Daher,2026-04-15,,Rasha,Steps,Add startup check in main.py,,
,,,,,,,Steps,Log WARNING if JWT_SECRET equals default value,,
,,,,,,,Steps,Optionally refuse to start in production with default secret,,
Fix timezone-aware timestamps in admin queries,"admin/queries.py uses datetime.utcnow() which is deprecated. Switch to datetime.now(timezone.utc) for proper timezone-aware timestamps with PostgreSQL TIMESTAMP WITH TIME ZONE.",High (orange),Rasha Daher,2026-04-15,,Rasha,Steps,Replace all datetime.utcnow() with datetime.now(timezone.utc),,
,,,,,,,Steps,Test admin analytics date range queries,,
Pin dependency versions in requirements.txt,"requirements.txt uses >= with no upper bounds. docling>=2.69.0 or pydantic-settings>=2.3.0 could pull breaking changes. Pin exact versions.",High (orange),Rasha Daher,2026-04-15,,Rasha,Steps,Run pip freeze to get current versions,,
,,,,,,,Steps,Pin all dependencies to exact versions (==),,
,,,,,,,Steps,Test that backend still starts with pinned versions,,
Add transaction rollback for analysis persistence,"If finding insertion fails mid-way, the analysis run is still marked 'succeeded'. Wrap finding + suggestion inserts in a DB transaction.",High (orange),Rasha Daher,2026-04-15,,Rasha,Steps,Wrap persistence in async with conn.transaction(),,
,,,,,,,Steps,Mark run as failed if any insert fails,,
,,,,,,,Steps,Add test for partial failure scenario,,
"[REQ GAP] SR18 — HTTPS/TLS configuration","SR18 requires HTTPS/TLS for all communication. No HTTPS config exists. Need: Azure App Service HTTPS enforcement, TLS certificate setup, redirect HTTP to HTTPS.",Critical (red),Rasha Daher,2026-04-15,,Rasha,Steps,Configure HTTPS on Azure App Service,,
,,,,,,,Steps,Set up TLS certificate (Azure managed or Let's Encrypt),,
,,,,,,,Steps,Add HTTP-to-HTTPS redirect,,
,,,,,,,Steps,Verify CORS settings work with HTTPS,,
"[REQ GAP] SR20 — Azure Monitor / Application Insights","SR20 requires Azure Monitor or Application Insights for service health, anonymized usage metrics, and failure alerts. Nothing is implemented. Set up App Insights for backend request tracking, error alerting, and performance monitoring.",Critical (red),Rasha Daher,2026-04-15,,Rasha,Steps,Create Application Insights resource in Azure,,
,,,,,,,Steps,Install opencensus-ext-azure in backend,,
,,,,,,,Steps,Configure request tracking middleware,,
,,,,,,,Steps,Set up alerts for error rate > 5% and latency > 5s,,
,,,,,,,Steps,Add anonymized usage telemetry,,
"[REQ GAP] SR16 — Deploy backend to Azure App Service","SR16 requires the backend API to run on Azure App Service or Azure Functions. Backend is NOT deployed yet — only runs locally. Deploy FastAPI backend as containerized Azure App Service.",Critical (red),Rasha Daher,2026-04-15,,Rasha,Steps,Create Azure App Service (Linux container),,
,,,,,,,Steps,Configure container to pull from ACR,,
,,,,,,,Steps,Set all environment variables in App Service config,,
,,,,,,,Steps,Configure health check endpoint,,
,,,,,,,Steps,Verify /docs endpoint accessible,,
,,,,,,,Steps,Test upload and analyze endpoints on deployed instance,,
"[REQ GAP] SR17 — Deploy PostgreSQL on Azure","SR17 requires Azure storage services for user accounts, configs, guidelines, and feedback data. PostgreSQL is only running locally. Deploy Azure Database for PostgreSQL Flexible Server.",Critical (red),Rasha Daher,2026-04-15,,Rasha,Steps,Create Azure Database for PostgreSQL Flexible Server,,
,,,,,,,Steps,Apply db/schema.sql to Azure PostgreSQL,,
,,,,,,,Steps,Apply db/seed.sql for initial data,,
,,,,,,,Steps,Configure backend to connect to Azure PostgreSQL,,
,,,,,,,Steps,Test all DB-dependent endpoints,,
,,,,,,,Steps,Set up automated backups,,
Add request ID correlation for logging,"No request tracing across logs. Add middleware that generates a UUID per request and propagates it through all log entries.",Medium (yellow),Rasha Daher,2026-07-08,,Rasha,Steps,Create request ID middleware,,
,,,,,,,Steps,Add request ID to all log formatters,,
,,,,,,,Steps,Return X-Request-ID header in responses,,
Add security scanning to CI,"No Trivy, Dependabot, or SAST scanning in pipeline. Add container and dependency vulnerability scanning.",Medium (yellow),Rasha Daher,2026-07-08,,Rasha,Steps,Add Dependabot config for Python and npm,,
,,,,,,,Steps,Add Trivy container scan step in CI,,
,,,,,,,Steps,Configure alerts for critical vulnerabilities,,
Make DB pool size configurable,"connection.py hardcodes min=2 max=10 pool size. Not configurable. Will fail on smaller Azure instances.",Medium (yellow),Rasha Daher,2026-07-08,,Rasha,Steps,Add DB_POOL_MIN and DB_POOL_MAX to config.py,,
,,,,,,,Steps,Use env vars in connection.py,,
,,,,,,,Steps,Document in .env.example,,
Add DOCX and PPTX support to ingestion,"Frontend accepts PDF DOCX PPTX TXT but backend Docling pipeline only handles PDF. Add converters or Docling config for other document formats. [REQ: SR1 requires at least DOCX and PDF]",Critical (red),Lama Zarka,2026-04-15,,Lama,Steps,Check Docling support for DOCX and PPTX,,
,,,,,,,Steps,Add format detection in ingestion service,,
,,,,,,,Steps,Implement DOCX parsing (python-docx or Docling),,
,,,,,,,Steps,Implement PPTX parsing (python-pptx or Docling),,
,,,,,,,Steps,Implement TXT passthrough,,
,,,,,,,Steps,Test each format with sample files,,
Fix temp file cleanup in ingestion,"ingestion/service.py:106-109 has bare try-except on os.unlink() that silently swallows errors. Add proper logging so failed cleanups are visible.",Critical (red),Lama Zarka,2026-04-15,,Lama,Steps,Replace bare except with specific OSError catch,,
,,,,,,,Steps,Add logger.warning for failed cleanup,,
,,,,,,,Steps,Consider using tempfile.NamedTemporaryFile with auto-cleanup,,
Add document metadata extraction,"Extract title, author, page count, and detected language from uploaded documents. Store in documents table for history and admin views.",Critical (red),Lama Zarka,2026-04-15,,Lama,Steps,Extract metadata from Docling parse result,,
,,,,,,,Steps,Detect document language (Hebrew vs English),,
,,,,,,,Steps,Store metadata in documents table columns,,
,,,,,,,Steps,Return metadata in upload response,,
Fix Unicode offset calculation in sentence splitter,"sentence_splitter.py uses text.find() which may produce wrong offsets for multi-byte Hebrew characters. Use proper Unicode-aware string indexing.",High (orange),Lama Zarka,2026-04-15,,Lama,Steps,Review current offset calculation logic,,
,,,,,,,Steps,Test with Hebrew text containing multi-byte chars,,
,,,,,,,Steps,Fix to use Unicode-aware indexing if broken,,
,,,,,,,Steps,Add unit tests with Hebrew edge cases,,
"[PERF] Frontend performance investigation and optimization","UI feels sluggish. Investigate and fix: (1) Measure bundle size with next/bundle-analyzer, (2) Profile render performance with React DevTools, (3) Check if Framer Motion animations are causing jank, (4) Optimize large component re-renders, (5) Add lazy loading for heavy components (admin dashboard, glossary). Create specific findings report.",Critical (red),Lama Zarka,2026-04-15,,Lama,Steps,Install @next/bundle-analyzer and measure bundle size,,
,,,,,,,Steps,Profile analyze page render with React DevTools Profiler,,
,,,,,,,Steps,Check Framer Motion animations for layout thrashing,,
,,,,,,,Steps,Identify components with unnecessary re-renders,,
,,,,,,,Steps,Add React.memo or useMemo where measured impact,,
,,,,,,,Steps,Add next/dynamic lazy loading for admin and glossary,,
,,,,,,,Steps,Measure before/after performance metrics,,
"[PERF] Stress test — concurrent uploads (Docling bottleneck)","No load testing has been done. Docling runs in a thread pool and is CPU-heavy. Test: (1) Install locust or k6, (2) Simulate 5, 10, 20 concurrent PDF uploads, (3) Measure response times and failure rates, (4) Identify Docling processing bottleneck, (5) Document max concurrent uploads before degradation.",Critical (red),Lama Zarka,2026-04-15,,Lama,Steps,Install locust load testing tool,,
,,,,,,,Steps,Create locust test for POST /api/v1/ingestion/upload,,
,,,,,,,Steps,Prepare 5 sample PDF files of varying sizes,,
,,,,,,,Steps,Run tests with 5 concurrent users,,
,,,,,,,Steps,Run tests with 10 concurrent users,,
,,,,,,,Steps,Run tests with 20 concurrent users,,
,,,,,,,Steps,Document response times and failure rates per concurrency level,,
,,,,,,,Steps,Identify max concurrent uploads before degradation,,
"[PERF] Stress test — concurrent analysis (vLLM bottleneck)","No load testing for the analysis pipeline. vLLM is configured for max 16 sequences. Test: (1) Simulate 5, 10, 20 concurrent /analyze requests, (2) Measure inference latency under load, (3) Test circuit breaker behavior under stress, (4) Document max concurrent analyses before degradation.",Critical (red),Barak Sharon,2026-04-15,,Barak,Steps,Install locust or k6 load testing tool,,
,,,,,,,Steps,Create test for POST /api/v1/analysis/analyze,,
,,,,,,,Steps,Prepare sample texts in English and Hebrew,,
,,,,,,,Steps,Run tests with 5 concurrent analysis requests,,
,,,,,,,Steps,Run tests with 10 concurrent analysis requests,,
,,,,,,,Steps,Run tests with 20 concurrent analysis requests,,
,,,,,,,Steps,Measure vLLM GPU memory under load,,
,,,,,,,Steps,Document max concurrent analyses and circuit breaker thresholds,,
Create vLLM Docker container,"No Dockerfile for vLLM exists. Currently relies on Azure VM systemd setup. Containerize for reproducibility and easier deployment.",Critical (red),Barak Sharon,2026-04-15,,Barak,Steps,Create infra/docker/vllm.Dockerfile,,
,,,,,,,Steps,Base on vllm/vllm-openai image,,
,,,,,,,Steps,Copy LoRA adapters and model config,,
,,,,,,,Steps,Add to docker-compose.yml as vllm service,,
,,,,,,,Steps,Test inference through container,,
Add vLLM health check endpoint,"Backend has circuit breaker but no explicit health check for the vLLM service. Add /api/v1/health/model endpoint that reports model availability and latency.",Critical (red),Barak Sharon,2026-04-15,,Barak,Steps,Create health check that pings vLLM /v1/models,,
,,,,,,,Steps,Return model name and status and response time,,
,,,,,,,Steps,Include circuit breaker state in response,,
,,,,,,,Steps,Add to frontend health check banner,,
Fix hardcoded vLLM IP in docker-compose,"docker-compose.yml has http://52.224.246.238:8001 hardcoded as the vLLM URL. Move to environment variable.",Critical (red),Barak Sharon,2026-04-15,,Barak,Steps,Replace hardcoded IP with ${VLLM_URL} env var,,
,,,,,,,Steps,Add default in .env.example,,
,,,,,,,Steps,Update README with vLLM connection instructions,,
Add confidence scores from model output,"Analysis router TODO says 'Add confidence scores from model'. LLM output may include confidence but it is not extracted. Pass through to frontend.",Critical (red),Barak Sharon,2026-04-15,,Barak,Steps,Update LLM prompt to request confidence score per issue,,
,,,,,,,Steps,Parse confidence from LLM JSON response,,
,,,,,,,Steps,Store confidence in findings table,,
,,,,,,,Steps,Return confidence in API response,,
,,,,,,,Steps,Display confidence in frontend issue cards,,Adan Daxa
Create model versioning strategy,"No mechanism to version or rollback LoRA adapters. Add adapter version tracking so production can safely switch between model versions.",High (orange),Barak Sharon,2026-04-15,,Barak,Steps,Define versioning scheme for adapters,,
,,,,,,,Steps,Add version metadata to adapter_config.json,,
,,,,,,,Steps,Create script to switch active adapter version,,
,,,,,,,Steps,Document rollback procedure,,
Add integration test with live vLLM,"test_vllm_deployment.py exists but is skipped in CI. Create a separate CI job or manual workflow that runs against a staging vLLM instance.",High (orange),Barak Sharon,2026-04-15,,Barak,Steps,Create GitHub Actions workflow for vLLM integration tests,,
,,,,,,,Steps,Configure to run on manual trigger or nightly schedule,,
,,,,,,,Steps,Test English and Hebrew inference end-to-end,,
,,,,,,,Steps,Assert response format and severity mapping,,
"[REQ GAP] SR7 — Verify and certify hardcoded detection rules","40+ hardcoded rules in router.py are AI-generated and NOT verified by domain experts. These MUST be certified by Achva before production. Export current rules, send to Achva for review, incorporate corrections.",Critical (red),Barak Sharon,2026-04-15,,Barak,Steps,Export all hardcoded rules to CSV (term + severity + category + suggestion),,
,,,,,,,Steps,Send CSV to Achva contacts (Yarden Marom / Ofek Dan) for review,,
,,,,,,,Steps,Collect feedback: corrections + new terms + removed terms,,
,,,,,,,Steps,Update rules in codebase or DB based on feedback,,
,,,,,,,Steps,Document which rules are expert-verified vs AI-generated,,
"[CLIENT] Request source documents from Achva for testing","Achva hasn't provided real academic documents to test our analysis on. We need sample documents with known LGBTQphobic content to validate our detection quality. Contact Achva, request 5-10 sample documents, run analysis, collect feedback on accuracy.",Critical (red),Barak Sharon,2026-04-15,,Barak,Steps,Email Achva contacts requesting 5-10 sample academic documents,,
,,,,,,,Steps,Specify: mix of Hebrew and English and different severity levels,,
,,,,,,,Steps,Run each document through the analysis pipeline,,
,,,,,,,Steps,Document detection results (true positives + false positives + missed),,
,,,,,,,Steps,Share results with Achva and collect feedback on accuracy,,
,,,,,,,Steps,Create improvement tickets based on feedback,,
"[CLIENT] Request additional rules and data sources from Achva","Our detection rules and training data need domain expert input. Achva was expected to provide guidelines and glossary entries (per assumption 2.5.1). Request: additional problematic terms, new severity categorizations, recommended data sources for future training.",High (orange),Barak Sharon,2026-04-15,,Barak,Steps,Prepare list of current rules and categories for Achva review,,
,,,,,,,Steps,Email Achva requesting additional terms and guidelines,,
,,,,,,,Steps,Ask for recommended academic sources with known issues,,
,,,,,,,Steps,Ask for Hebrew-specific terminology updates,,
,,,,,,,Steps,Incorporate new rules and data into system,,
Add batch analysis endpoint,"Only single-text analysis exists. Add batch endpoint for processing multiple documents or text segments in one request.",Medium (yellow),Barak Sharon,2026-07-08,,Barak,Steps,Design batch API contract (max items and timeout),,
,,,,,,,Steps,Implement POST /api/v1/analysis/batch,,
,,,,,,,Steps,Add async processing with status polling,,
,,,,,,,Steps,Test with mixed Hebrew and English batch,,
Add model performance monitoring,"No tracking of inference latency or accuracy drift or error rates per model version. Add basic metrics collection.",Medium (yellow),Barak Sharon,2026-07-08,,Barak,Steps,Log inference latency per request,,
,,,,,,,Steps,Track error rate and fallback rate,,
,,,,,,,Steps,Create dashboard or log query for metrics,,
"[QA] Full end-to-end user flow testing","Assign dedicated QA pass: systematically test every user flow end-to-end. Document all bugs found. Flows to test: (1) Anonymous user: upload PDF → get results → export, (2) Registered user: register → verify email → login → upload → results → history, (3) Google OAuth: login → analyze → results, (4) Admin: login → dashboard → rules management, (5) Edge cases: empty file, 50-page PDF, mixed language doc, special characters, RTL layout.",Critical (red),Shahaf Wieder,2026-04-15,,Shahaf,Steps,Create test plan document with all user flows,,
,,,,,,,Steps,Test anonymous upload + analysis flow,,
,,,,,,,Steps,Test registration + email verification + login flow,,
,,,,,,,Steps,Test Google OAuth full flow,,
,,,,,,,Steps,Test admin dashboard flow,,
,,,,,,,Steps,Test edge cases: empty file + huge file + mixed language,,
,,,,,,,Steps,Test edge cases: special characters + Hebrew-only + English-only,,
,,,,,,,Steps,Test private mode: verify no text stored in DB,,
,,,,,,,Steps,Test on mobile browser,,
,,,,,,,Steps,Document all bugs as separate Trello cards,,
"[REQ GAP] UR9 — Integration with Achva website","UR9 requires the analyzer to be accessible from Achva's existing website via link or embed. No integration exists. Coordinate with Achva to add a link/button on their site pointing to our deployed app.",High (orange),Shahaf Wieder,2026-04-15,,Shahaf,Steps,Confirm deployment URL for production,,
,,,,,,,Steps,Contact Achva about adding link to their website,,
,,,,,,,Steps,Provide Achva with banner/button assets if needed,,
,,,,,,,Steps,Verify the link works after deployment,,
"[REQ GAP] Deploy frontend to Azure","Frontend only runs locally. Needs to be deployed to Azure (Static Web Apps or App Service) for production use and Achva integration.",Critical (red),Shahaf Wieder,2026-04-15,,Shahaf,Steps,Choose Azure hosting (Static Web Apps vs App Service),,
,,,,,,,Steps,Configure Next.js standalone build for Azure,,
,,,,,,,Steps,Set up custom domain if applicable,,
,,,,,,,Steps,Configure environment variables for production API URL,,
,,,,,,,Steps,Verify i18n routing works in production,,
,,,,,,,Steps,Test full flow on deployed frontend,,
