Sentence,Severity Label,Rule Category,Explanation
Being gay was considered incompatible with military service.,Outdated,Institutional Discrimination,"Refers to ""Don't Ask, Don't Tell"" era policies."
Same-sex attraction was once attributed to moral weakness.,Outdated,Moralization of Identity,A religious/moral framework that was historically applied to medical diagnosis.
Medical textbooks previously ignored transgender health entirely.,Outdated,Medical Erasure,Acknowledges the past lack of curriculum which is now being updated.
LGBTQ+ people were excluded from most clinical research.,Outdated,Scientific Exclusion,Historically accurate gap in scientific literature.
Gender diversity was once seen as extremely rare.,Outdated,Historical Misconception,"Visibility was lower due to safety/stigma, creating a false sense of rarity."
Parenting by same-sex couples was previously discouraged by professionals.,Outdated,Disproven Sociological Advice,Advice based on bias rather than child welfare data.
Sexual orientation was believed to be changeable with discipline.,Outdated,Behavioral Modification Theory,A behavioral conditioning approach that proved ineffective and harmful.
Many transgender people are just confused about their identity.,Biased,Identity Invalidation / Infantlization,"Subjective dismissal of identity, framing it as a cognitive failure."
LGBTQ+ activism exaggerates discrimination for political gain.,Biased,Minimization of Harm,Frames documented systemic issues as manipulative political strategy.
Children are influenced into identifying as LGBTQ+ by social media.,Biased,Social Contagion Narrative,"Attributes identity formation to external ""trends"" rather than internal sense of self."
Gay relationships are less stable than heterosexual ones.,Biased,Negative Stereotyping,Generalization that ignores external stressors (legal/social) affecting stability.
Transgender identities reflect modern social trends rather than biology.,Biased,Denial of Biological Basis,"Dismisses biological components of identity in favor of a ""lifestyle"" narrative."
Schools focus too much on LGBTQ+ issues at the expense of other students.,Biased,Zero-Sum Framing,Suggests inclusion comes at a direct cost to the majority population.
Most people regret transitioning later in life.,Biased,Statistical Misrepresentation,Misrepresents detransition rates (which are roughly 1-3%) to imply general regret.
LGBTQ+ topics should remain private and not public.,Biased,Erasure / Privatization Rhetoric,Suggests identity is inherently shameful or inappropriate for public life.
Gender diversity is being pushed by ideological groups.,Biased,Political Conspiracy Framing,Frames existence as a political plot rather than a human demographic.
Traditional families are more beneficial than LGBTQ+ families.,Biased,Moral Superiority / Hierarchy,Assumes a hierarchy of family worth without empirical support.
Transgender identities are being normalized too quickly by society.,Biased,Alarmist Rhetoric,subjective pacing argument implying progress is dangerous.
LGBTQ+ advocacy prioritizes feelings over facts.,Biased,Dismissive / Anti-Intellectualism,Rhetorical device used to paint the group as irrational.
Many people identify as LGBTQ+ because it is socially rewarded.,Biased,Social Contagion Narrative,"Ignores the heavy social costs (stigma) of identifying, claiming it's for ""clout."""
Gender diversity reflects confusion rather than genuine identity.,Biased,Identity Invalidation,"Pathologizes a normal variation of human experience as ""confusion."""
LGBTQ+ rights receive more attention than other civil rights issues.,Biased,Oppression Olympics / Minimization,Attempts to pit marginalized groups against each other to lower support.
Most opposition to LGBTQ+ policies is unfairly labeled as hatred.,Biased,Tone Policing / Victim Reversal,Centers the feelings of the critic rather than the impact of the policy.
Children today are pressured to question their gender.,Biased,Coercion Narrative,Frames exploration/education as forceful recruitment.
Media coverage exaggerates discrimination against LGBTQ+ people.,Biased,Denial of Discrimination,"Claims objective reporting on violence/bias is ""fake news"" or hyperbole."
Traditional values are threatened by LGBTQ+ visibility.,Biased,Cultural Threat Narrative,Frames the existence of one group as an existential danger to another.
Transgender healthcare is driven more by ideology than evidence.,Biased,Anti-Science Rhetoric,"Dismisses decades of peer-reviewed medical research as ""ideology."""
Some people feel uncomfortable sharing spaces with transgender individuals.,Potentially Offensive,Exclusionary Rhetoric,Prioritizes majority comfort over minority access; often used to justify segregation.
LGBTQ+ lifestyles conflict with certain cultural values.,Potentially Offensive,Othering / Incompatibility Narrative,Frames the group as inherently alien or hostile to culture.
Pride events can make some communities uneasy.,Potentially Offensive,Tone Policing,Shifts focus from the purpose of the event (rights) to the discomfort of observers.
Not everyone agrees with non-binary identities.,Potentially Offensive,Identity Denial,Frames the existence of a person as a matter of opinion or debate.
Discussions about sexuality may not be appropriate for children.,Potentially Offensive,Sexualization of Identity,Conflates identity/family structure with explicit sexual acts.
Gender-neutral language feels unnatural to some speakers.,Potentially Offensive,Linguistic Exclusion,Prioritizes linguistic comfort over respectful address of individuals.
Religious beliefs may oppose same-sex relationships.,Potentially Offensive,Religious Objection,"While factual that beliefs exist, often used to justify discriminatory action."
LGBTQ+ representation can be controversial in conservative areas.,Potentially Offensive,Social Friction Narrative,"Implies the presence of the group is the problem, not the intolerance."
Some parents worry about LGBTQ+ education in schools.,Potentially Offensive,Moral Panic,Validates anxieties that are often rooted in misinformation about curriculum.
Public debates about transgender rights are highly emotional.,Potentially Offensive,Tone Policing,"Dismisses the urgency of civil rights by focusing on the ""drama"" of the debate."
Some people feel that gender-neutral spaces erase biological differences.,Potentially Offensive,Biological Essentialism,Reduces humans to biological sex characteristics to argue against inclusion.
LGBTQ+ activism can feel overwhelming to certain communities.,Potentially Offensive,Tone Policing,"Centers the ""overwhelm"" of the majority rather than the needs of the minority."
Not all cultures accept non-binary identities.,Potentially Offensive,Cultural Relativism,Uses cultural tradition to excuse non-acceptance or erasure.
Discussions about gender identity can make some parents uneasy.,Potentially Offensive,Moral Panic,Highlights parental discomfort to argue against youth support.
Religious communities may struggle with LGBTQ+ inclusion.,Potentially Offensive,Religious Objection,Gentle framing of exclusion based on dogma.
Some believe LGBTQ+ topics belong outside the classroom.,Potentially Offensive,Educational Exclusion,Arguments for removing representation of a specific group from education.
Pride symbolism is controversial in conservative areas.,Potentially Offensive,Social Friction Narrative,Frames symbols of inclusion as acts of provocation.
Gender-inclusive language is difficult for some speakers to adopt.,Potentially Offensive,Linguistic Resistance,"Validates refusal to use preferred pronouns based on ""difficulty."""
Public institutions face challenges balancing inclusion and tradition.,Potentially Offensive,Tradition vs. Rights Framing,"Suggests ""tradition"" is a valid reason to delay or limit civil rights."
LGBTQ+ representation can generate social tension.,Potentially Offensive,Blaming the Victim,Blames the minority group for the tension caused by prejudice against them.
Homosexuality can be cured through therapy.,Factually Incorrect,Pseudoscience / Dangerous Practice,"Scientific consensus states orientation cannot be changed; ""cures"" are harmful."
Most transgender people detransition after a few years.,Factually Incorrect,False Statistics,"Studies show detransition rates are very low (approx 1-3%), usually due to lack of support."
Being gay is caused by childhood trauma.,Factually Incorrect,False Causality / Pathologization,No empirical evidence supports trauma as the root cause of sexual orientation.
LGBTQ+ people are more likely to be criminals.,Factually Incorrect,Defamatory Stereotyping,False correlation; conflates identity with criminality (historical fallacy).
Gender identity is determined solely by social influence.,Factually Incorrect,Scientific Denialism,"Ignores biological, hormonal, and psychological factors of identity."
Same-sex parenting harms child development.,Factually Incorrect,Disproven Sociological Claim,70+ studies show children of gay parents fare as well as those of straight parents.
Transgender healthcare is entirely experimental.,Factually Incorrect,Medical Misinformation,Treatments (blockers/hormones) have been used safely for decades.
Sexual orientation can be changed by willpower.,Factually Incorrect,Psychological Misinformation,"Suggests orientation is a choice, which psychological science refutes."
LGBTQ+ identities did not exist before modern times.,Factually Incorrect,Historical Erasure,"Erases documented history of gender/sexual variance in antiquity (e.g., Two-Spirit, Hijra)."
Exposure to LGBTQ+ people makes others gay.,Factually Incorrect,Contagion Myth,"Exposure may increase coming out (safety), but does not change orientation."
Sexual orientation can be changed through proper counseling.,Factually Incorrect,Conversion Narrative,Implies talk therapy can alter biology/attraction; proven false.
Most LGBTQ+ people were abused as children.,Factually Incorrect,False Correlation / Pathologization,Statistical falsehood used to frame identity as a damage response.
Transgender identity is caused by peer pressure alone.,Factually Incorrect,False Causality,Peer pressure cannot create a persistent gender identity where none exists.
Same-sex relationships are inherently unstable.,Factually Incorrect,Sociological Misinformation,"Instability often stems from external discrimination, not the relationship type itself."
Gender identity disappears if ignored during childhood.,Factually Incorrect,Psychological Misinformation,Suppression does not remove identity; it often leads to repression and trauma.
LGBTQ+ people are more likely to harm children.,Factually Incorrect,Predatory Stereotyping / Libel,"""Groomer"" narrative; statistics show abusers are overwhelmingly heterosexual family members."
Medical organizations do not support transgender healthcare.,Factually Incorrect,False Institutional Claim,"AMA, AAP, APA, and WPATH all explicitly support gender-affirming care."
Sexual orientation is a conscious lifestyle choice.,Factually Incorrect,Psychological Misinformation,People do not choose who they are attracted to.
LGBTQ+ identities only exist in Western societies.,Factually Incorrect,Cultural/Historical Erasure,"Ignores global history of gender variance (Asia, Africa, Americas pre-colonialism)."
Exposure to LGBTQ+ education causes children to become LGBTQ+.,Factually Incorrect,Contagion Myth,Education provides vocabulary for existing feelings; it does not create the feelings.
